Callsign,Frequency_MHz,Latitude,Longitude,SiteName,SiteLocation,State,Power_W,WFO,Status
KJY87,162.425,55.2503,-162.763364,Cold Bay,Cold Bay,AK,5,Anchorage|AK,NORMAL
WNG714,162.550,55.349444,-160.4731,Sand Point,Sand Point,AK,300,Anchorage|AK,NORMAL
KJY73,162.525,57.12,-170.281111,Saint Paul Island,Saint Paul Island,AK,5,Anchorage|AK,NORMAL
WXK89,162.550,53.8891,-166.533852,Unalaska,Dutch Harbor,AK,300,Anchorage|AK,NORMAL
KEC43,162.550,61.157038,-149.98741,Anchorage,Anchorage,AK,300,Anchorage|AK,NORMAL
KZZ98,162.400,61.601576,-149.360616,Wasilla,Wasilla,AK,300,Anchorage|AK,NORMAL
WNG675,162.550,60.785455,-161.839479,Bethel,Bethel,AK,1000,Anchorage|AK,NORMAL
KZZ90,162.425,58.066389,-153.376944,Raspberry Island,Raspberry Island,AK,5,Kodiak|AK (WSO),NORMAL
WNG532,162.525,60.275576,-146.638974,Cape Hinchinbrook,Cape Hinchinbrook,AK,5,Anchorage|AK,NORMAL
WXJ79,162.400,60.549944,-145.749552,Cordova,Ski Hill,AK,1000,Anchorage|AK,NORMAL
WNG530,162.500,60.645,-147.346944,East Point,Naked Island,AK,5,Anchorage|AK,NORMAL
KZZ93,162.450,60.817222,-148.38,Point Pigot,Point Pigot,AK,5,Anchorage|AK,NORMAL
WNG527,162.425,61.056543,-146.697377,Potato Point,Potato Point,AK,5,Anchorage|AK,NORMAL
WXJ63,162.550,61.130437,-146.352503,Valdez,Valdez,AK,300,Anchorage|AK,NORMAL
KXI29,162.475,60.7769,-148.69037,Whittier,Whittier,AK,100,Anchorage|AK,NORMAL
KPS503,162.550,62.103876,-146.174541,Glennallen,Glennallen,AK,1000,Anchorage|AK,OUT OF SERVICE
KPS504,162.400,64.581944,-149.079444,Nenana,Nenana,AK,300,Fairbanks|AK,NORMAL
WNG681,162.500,59.0422,-158.455,Dillingham,Dillingham,AK,5,Anchorage|AK,NORMAL
WNG525,162.425,58.8575,-159.465833,Tuklung Mtn.,Tuklung Mtn.,AK,5,Anchorage|AK,NORMAL
WXJ81,162.550,64.8789,-148.0558,Fairbanks,Ester Dome,AK,700,Fairbanks|AK,NORMAL
WXM97,162.400,59.247378,-135.435426,Haines,Haines,AK,300,Juneau|AK,NORMAL
KZZ86,162.425,58.09323,-136.4146,Althorp Peak,Althorp Peak,AK,5,Juneau|AK,NORMAL
WXJ25,162.550,58.301746,-134.42035,Juneau,Juneau,AK,300,Juneau|AK,NORMAL
KZZ87,162.450,58.226944,-134.841667,Mt. Robert Barron,Mt. Robert Barron,AK,5,Juneau|AK,NORMAL
KZZ88,162.425,57.204722,-133.465833,Cape Fanshaw,Cape Fanshaw,AK,5,Juneau|AK,NORMAL
WNG528,162.450,59.310278,-151.943889,Bede Mountain,Bede Mountain,AK,5,Anchorage|AK,NORMAL
WXJ24,162.400,59.68081,-151.61774,Homer,Diamond Ridge,AK,800,Anchorage|AK,NORMAL
KZZ97,162.550,60.043337,-151.676849,Ninilchik,Ninilchik,AK,300,Anchorage|AK,NORMAL
WNG526,162.425,59.860661,-149.39478,Rugged Island,Rugged Island,AK,5,Anchorage|AK,NORMAL
KEC81,162.550,60.089345,-149.352763,Seward,Spring Creek,AK,300,Anchorage|AK,NORMAL
WWG39,162.475,60.48942,-151.0713,Soldotna,Soldotna,AK,300,Anchorage|AK,NORMAL
KZZ92,162.450,54.883333,-131.358333,Duke Island,Duke Island,AK,5,Juneau|AK,NORMAL
KZZ96,162.525,55.3675,-131.8,Gravina Island,Gravina Island,AK,5,Juneau|AK,NORMAL
WXJ26,162.550,55.460822,-131.810428,Ketchikan,Point Higgins,AK,500,Juneau|AK,NORMAL
WNG529,162.500,58.199694,-154.205084,Cape Gull,Cape Gull,AK,5,Kodiak|AK (WSO),NORMAL
WXJ78,162.550,57.7344,-152.5014,Kodiak,Woman's Bay,AK,1000,Kodiak|AK (WSO),NORMAL
WNG716,162.500,58.235833,-151.820833,Marmot Island,Marmot Island,AK,5,Kodiak|AK (WSO),NORMAL
WZ2556,162.525,57.3728,-154.6264,Middle Cape,Kodiak Island,AK,5,Kodiak|AK (WSO),NORMAL
WNG531,162.525,57.788202,-152.437856,Pillar Mtn.,Pillar Mtn.,AK,5,Kodiak|AK (WSO),NORMAL
WNG718,162.450,56.559444,-154.182222,Sitkinak Dome,Sitkinak Dome,AK,5,Kodiak|AK (WSO),NORMAL
WXJ62,162.550,64.486667,-165.3025,Nome,Fort Davis,AK,1000,Fairbanks|AK,NORMAL
KZZ53,162.550,71.288352,-156.762283,Utqiagvik,Utqiagvik,AK,300,Fairbanks|AK,NORMAL
KWN30,162.550,66.8861,-162.613611,Kotzebue,Kotzebue,AK,1000,Fairbanks|AK,DEGRADED
KAD96,162.500,57.105556,-134.816944,Manleyville,Manleyville,AK,5,Juneau|AK,NORMAL
KXI80,162.475,55.474069,-133.137279,Craig,Craig,AK,300,Juneau|AK,NORMAL
KZZ89,162.425,55.111944,-132.758611,Sukkwan Island,Sukkwan Island,AK,5,Juneau|AK,NORMAL
WZ2555,162.525,57.5228,-135.4617,Duffield Peninsula,Duffield Peninsula,AK,5,Juneau|AK,NORMAL
KZZ95,162.525,56.069167,-134.191944,Mt. McArthur,Mt. McArthur,AK,5,Juneau|AK,NORMAL
WXJ80,162.550,57.0472,-135.3669,Sitka,Biorka Island,AK,500,Juneau|AK,NORMAL
WXJ83,162.400,56.472495,-132.386953,Wrangell,Wrangell,AK,1000,Juneau|AK,NORMAL
KZZ91,162.450,56.345278,-132.861389,Zarembo Island,Zarembo Island,AK,5,Juneau|AK,NORMAL
WXK69,162.400,59.510673,-139.671921,Yakutat,Monti Bay,AK,500,Juneau|AK,NORMAL
WNG607,162.425,31.877222,-86.728333,Greenville,Greenville,AL,300,Mobile|AL,NORMAL
KIH55,162.400,32.381944,-86.292583,Montgomery,WAIQ TV,AL,911,Birmingham|AL,NORMAL
WNG635,162.450,32.5256,-86.9828,Selma,Selma,AL,1000,Birmingham|AL,NORMAL
WWF55,162.500,31.594722,-87.845278,Jackson,ToddTown,AL,1000,Mobile|AL,NORMAL
KEC61,162.550,30.659444,-87.8925,Mobile,Mobile,AL,1000,Mobile|AL,NORMAL
KEC86,162.400,30.588611,-87.070556,Pensacola,Milton,FL,1000,Mobile|AL,NORMAL
KIH56,162.475,31.718056,-85.434139,Louisville,Texasville,AL,1000,Birmingham|AL,NORMAL
KIH54,162.550,33.489083,-86.799306,Birmingham,WBIQ TV,AL,1020,Birmingham|AL,NORMAL
KIH60,162.400,33.214167,-87.489972,Tuscaloosa,Holt,AL,1000,Birmingham|AL,NORMAL
WNG606,162.425,33.985861,-86.459972,Oneonta,Oneonta,AL,315,Birmingham|AL,NORMAL
WWF54,162.525,32.622078,-85.501314,Auburn,Auburn,AL,1000,Birmingham|AL,NORMAL
KIH59,162.550,31.554444,-86.392222,Dozier,Dozier,AL,1000,Mobile|AL,NORMAL
KIH58,162.475,33.485139,-85.808889,Anniston,Mt. Cheaha,AL,299,Birmingham|AL,NORMAL
